sum_Facebook_result,avg_Facebook_by_hour
5388.0,112.25
2609.0,54.354166666666664
-18.0,-0.375
132.0,2.75
1096.0,22.833333333333332
1493.0,31.104166666666668
4144.0,86.33333333333333
1108.0,23.083333333333332
14293.0,297.7708333333333
1247.0,25.979166666666668
1606.0,33.458333333333336
-144.0,-3.0
2397.0,49.9375
138.0,2.875
2004.0,41.75
-36.0,-0.75
10470.0,218.125
42949.0,894.7708333333334
27085.0,564.2708333333334
4236.0,88.25
187350.0,3903.125
3289.0,68.52083333333333
11460.0,238.75
815.0,16.979166666666668
1292.0,26.916666666666668
3855.0,80.3125
699.0,14.5625
137.0,2.8541666666666665
9822.0,204.625
1063.0,22.145833333333332
279.0,5.8125
14202.0,295.875
58064.0,1209.6666666666667
8199.0,170.8125
142.0,2.9583333333333335
1398.0,29.125
3185.0,66.35416666666667
285.0,5.9375
249959.0,5207.479166666667
864.0,18.0
970.0,20.208333333333332
530.0,11.041666666666666
997.0,20.770833333333332
825.0,17.1875
512633.0,10679.854166666666
6917.0,144.10416666666666
405.0,8.4375
3700.0,77.08333333333333
1937.0,40.354166666666664
2519.0,52.479166666666664
221.0,4.604166666666667
36396.0,758.25
35653.0,742.7708333333334
7350.0,153.125
284.0,5.916666666666667
-1.0,-0.020833333333333332
4945.0,103.02083333333333
48101.0,1002.1041666666666
57934.0,1206.9583333333333
120.0,2.5
84941.0,1769.6041666666667
0.0,0.0
725.0,15.104166666666666
845.0,17.604166666666668
6143.0,127.97916666666667
-2.0,-0.041666666666666664
10344.0,215.5
91175.0,1899.4791666666667
904.0,18.833333333333332
3233.0,67.35416666666667
10666.0,222.20833333333334
806.0,16.791666666666668
80452.0,1676.0833333333333
26579.0,553.7291666666666
37451.0,780.2291666666666
3930.0,81.875
122243.0,2546.7291666666665
46779.0,974.5625
593.0,12.354166666666666
-15.0,-0.3125
8789.0,183.10416666666666
10035.0,209.0625
5309.0,110.60416666666667
1534.0,31.958333333333332
11693.0,243.60416666666666
10386.0,216.375
600.0,12.5
5134.0,106.95833333333333
512.0,10.666666666666666
1248.0,26.0
-5.0,-0.10416666666666667
10586.0,220.54166666666666
9768.0,203.5
5110.0,106.45833333333333
290.0,6.041666666666667
42498.0,885.375
346.0,7.208333333333333
21157.0,440.7708333333333
1783.0,37.145833333333336
3584.0,74.66666666666667
-25.0,-0.5208333333333334
-144.0,-3.0
138.0,2.875
1354.0,28.208333333333332
1727.0,35.979166666666664
-144.0,-3.0
12821.0,267.1041666666667
34740.0,723.75
74200.0,1545.8333333333333
244.0,5.083333333333333
2882.0,60.041666666666664
17566.0,365.9583333333333
-1.0,-0.020833333333333332
-25.0,-0.5208333333333334
-30.0,-0.625
480.0,10.0
575.0,11.979166666666666
496.0,10.333333333333334
76613.0,1596.1041666666667
28366.0,590.9583333333334
6840.0,142.5
4822.0,100.45833333333333
-1.0,-0.020833333333333332
2873.0,59.854166666666664
-2.0,-0.041666666666666664
17963.0,374.2291666666667
180419.0,3758.7291666666665
18950.0,394.7916666666667
-39.0,-0.8125
232.0,4.833333333333333
-55.0,-1.1458333333333333
1214.0,25.291666666666668
-56.0,-1.1666666666666667
131.0,2.7291666666666665
13041.0,271.6875
1900.0,39.583333333333336
254.0,5.291666666666667
22264.0,463.8333333333333
8430.0,175.625
2076.0,43.25
-25.0,-0.5208333333333334
1290.0,26.875
-27.0,-0.5625
1361.0,28.354166666666668
881.0,18.354166666666668
38339.0,798.7291666666666
1661.0,34.604166666666664
6783.0,141.3125
1383.0,28.8125
137.0,2.8541666666666665
2818.0,58.708333333333336
2237.0,46.604166666666664
6447.0,134.3125
3786.0,78.875
-144.0,-3.0
775785.0,16162.1875
2498.0,52.041666666666664
3292.0,68.58333333333333
