sum_GooglePlus_result,avg_GooglePlus_by_hour
0.0,0.0
42.0,0.875
493.0,10.270833333333334
133.0,2.7708333333333335
363.0,7.5625
74.0,1.5416666666666667
0.0,0.0
144.0,3.0
-82.0,-1.7083333333333333
2910.0,60.625
17453.0,363.6041666666667
3694.0,76.95833333333333
-33.0,-0.6875
257.0,5.354166666666667
0.0,0.0
252.0,5.25
6074.0,126.54166666666667
54.0,1.125
281.0,5.854166666666667
362.0,7.541666666666667
-21.0,-0.4375
138.0,2.875
158.0,3.2916666666666665
0.0,0.0
-21.0,-0.4375
2637.0,54.9375
0.0,0.0
-21.0,-0.4375
0.0,0.0
0.0,0.0
2070.0,43.125
122.0,2.5416666666666665
-21.0,-0.4375
0.0,0.0
144.0,3.0
279.0,5.8125
0.0,0.0
351.0,7.3125
0.0,0.0
-144.0,-3.0
160.0,3.3333333333333335
895.0,18.645833333333332
3245.0,67.60416666666667
409.0,8.520833333333334
0.0,0.0
0.0,0.0
-6.0,-0.125
0.0,0.0
8653.0,180.27083333333334
0.0,0.0
4559.0,94.97916666666667
0.0,0.0
0.0,0.0
615.0,12.8125
219.0,4.5625
0.0,0.0
-12.0,-0.25
276.0,5.75
962.0,20.041666666666668
553.0,11.520833333333334
532.0,11.083333333333334
-27.0,-0.5625
-21.0,-0.4375
-21.0,-0.4375
16329.0,340.1875
0.0,0.0
225.0,4.6875
402.0,8.375
-15.0,-0.3125
256.0,5.333333333333333
-12.0,-0.25
0.0,0.0
216.0,4.5
126.0,2.625
0.0,0.0
-21.0,-0.4375
464.0,9.666666666666666
122.0,2.5416666666666665
126.0,2.625
0.0,0.0
207.0,4.3125
-24.0,-0.5
-28.0,-0.5833333333333334
90.0,1.875
0.0,0.0
-3.0,-0.0625
36.0,0.75
220.0,4.583333333333333
353.0,7.354166666666667
-21.0,-0.4375
-21.0,-0.4375
0.0,0.0
-22.0,-0.4583333333333333
112.0,2.3333333333333335
0.0,0.0
-15.0,-0.3125
128.0,2.6666666666666665
-33.0,-0.6875
220.0,4.583333333333333
102.0,2.125
1256.0,26.166666666666668
0.0,0.0
53.0,1.1041666666666667
-32.0,-0.6666666666666666
-27.0,-0.5625
282.0,5.875
409.0,8.520833333333334
1366.0,28.458333333333332
248.0,5.166666666666667
0.0,0.0
280.0,5.833333333333333
221.0,4.604166666666667
144.0,3.0
1426.0,29.708333333333332
0.0,0.0
216.0,4.5
0.0,0.0
-24.0,-0.5
176.0,3.6666666666666665
576.0,12.0
2419.0,50.395833333333336
719.0,14.979166666666666
0.0,0.0
274.0,5.708333333333333
0.0,0.0
394.0,8.208333333333334
-21.0,-0.4375
318.0,6.625
0.0,0.0
0.0,0.0
804.0,16.75
-3.0,-0.0625
-21.0,-0.4375
-21.0,-0.4375
132.0,2.75
299.0,6.229166666666667
132.0,2.75
-21.0,-0.4375
0.0,0.0
68.0,1.4166666666666667
144.0,3.0
0.0,0.0
0.0,0.0
-22.0,-0.4583333333333333
664.0,13.833333333333334
352.0,7.333333333333333
1504.0,31.333333333333332
144.0,3.0
0.0,0.0
-21.0,-0.4375
-3.0,-0.0625
0.0,0.0
143.0,2.9791666666666665
134.0,2.7916666666666665
0.0,0.0
128.0,2.6666666666666665
98.0,2.0416666666666665
278.0,5.791666666666667
-18.0,-0.375
-21.0,-0.4375
0.0,0.0
3284.0,68.41666666666667
108.0,2.25
5433.0,113.1875
0.0,0.0
101.0,2.1041666666666665
0.0,0.0
0.0,0.0
0.0,0.0
279.0,5.8125
0.0,0.0
765.0,15.9375
810.0,16.875
141.0,2.9375
1886.0,39.291666666666664
0.0,0.0
0.0,0.0
0.0,0.0
-21.0,-0.4375
-12.0,-0.25
95.0,1.9791666666666667
144.0,3.0
287.0,5.979166666666667
-69.0,-1.4375
432.0,9.0
-3.0,-0.0625
682.0,14.208333333333334
102.0,2.125
1681.0,35.020833333333336
0.0,0.0
161.0,3.3541666666666665
-6.0,-0.125
64.0,1.3333333333333333
0.0,0.0
-144.0,-3.0
422.0,8.791666666666666
0.0,0.0
58.0,1.2083333333333333
0.0,0.0
-18.0,-0.375
701.0,14.604166666666666
243.0,5.0625
391.0,8.145833333333334
0.0,0.0
186.0,3.875
0.0,0.0
821.0,17.104166666666668
-12.0,-0.25
482.0,10.041666666666666
288.0,6.0
-36.0,-0.75
732.0,15.25
322.0,6.708333333333333
-21.0,-0.4375
844.0,17.583333333333332
-42.0,-0.875
464.0,9.666666666666666
-33.0,-0.6875
2116.0,44.083333333333336
-42.0,-0.875
61.0,1.2708333333333333
189.0,3.9375
-21.0,-0.4375
132.0,2.75
511.0,10.645833333333334
0.0,0.0
0.0,0.0
288.0,6.0
-18.0,-0.375
-33.0,-0.6875
-21.0,-0.4375
689.0,14.354166666666666
216.0,4.5
78.0,1.625
2.0,0.041666666666666664
76.0,1.5833333333333333
144.0,3.0
144.0,3.0
0.0,0.0
0.0,0.0
-3.0,-0.0625
60.0,1.25
-24.0,-0.5
0.0,0.0
215.0,4.479166666666667
-21.0,-0.4375
0.0,0.0
0.0,0.0
27.0,0.5625
-21.0,-0.4375
278.0,5.791666666666667
243.0,5.0625
2441.0,50.854166666666664
0.0,0.0
243.0,5.0625
