sum_GooglePlus_result,avg_GooglePlus_by_hour
84.0,1.75
-76.0,-1.5833333333333333
-27.0,-0.5625
-48.0,-1.0
-61.0,-1.2708333333333333
-132.0,-2.75
-140.0,-2.9166666666666665
24.0,0.5
-36.0,-0.75
-144.0,-3.0
-140.0,-2.9166666666666665
-136.0,-2.8333333333333335
-144.0,-3.0
-92.0,-1.9166666666666667
-140.0,-2.9166666666666665
-136.0,-2.8333333333333335
-144.0,-3.0
-140.0,-2.9166666666666665
-100.0,-2.0833333333333335
-140.0,-2.9166666666666665
-57.0,-1.1875
276.0,5.75
-144.0,-3.0
-12.0,-0.25
-140.0,-2.9166666666666665
50.0,1.0416666666666667
-85.0,-1.7708333333333333
-119.0,-2.4791666666666665
-144.0,-3.0
-144.0,-3.0
-125.0,-2.6041666666666665
-144.0,-3.0
-95.0,-1.9791666666666667
-144.0,-3.0
-81.0,-1.6875
-144.0,-3.0
-30.0,-0.625
-24.0,-0.5
-25.0,-0.5208333333333334
-24.0,-0.5
-24.0,-0.5
-24.0,-0.5
-25.0,-0.5208333333333334
-24.0,-0.5
-139.0,-2.8958333333333335
0.0,0.0
-76.0,-1.5833333333333333
142.0,2.9583333333333335
-77.0,-1.6041666666666667
-26.0,-0.5416666666666666
0.0,0.0
-85.0,-1.7708333333333333
-85.0,-1.7708333333333333
-144.0,-3.0
-86.0,-1.7916666666666667
-86.0,-1.7916666666666667
-28.0,-0.5833333333333334
-144.0,-3.0
-144.0,-3.0
-86.0,-1.7916666666666667
704.0,14.666666666666666
-18.0,-0.375
15.0,0.3125
0.0,0.0
-43.0,-0.8958333333333334
-33.0,-0.6875
-9.0,-0.1875
766.0,15.958333333333334
0.0,0.0
95.0,1.9791666666666667
-144.0,-3.0
-26.0,-0.5416666666666666
-1.0,-0.020833333333333332
-144.0,-3.0
-99.0,-2.0625
-3.0,-0.0625
230.0,4.791666666666667
-26.0,-0.5416666666666666
-105.0,-2.1875
0.0,0.0
144.0,3.0
242.0,5.041666666666667
-42.0,-0.875
1836.0,38.25
0.0,0.0
0.0,0.0
286.0,5.958333333333333
12.0,0.25
-144.0,-3.0
-42.0,-0.875
0.0,0.0
-24.0,-0.5
0.0,0.0
-42.0,-0.875
-6.0,-0.125
115.0,2.3958333333333335
0.0,0.0
-18.0,-0.375
-144.0,-3.0
-24.0,-0.5
-24.0,-0.5
-54.0,-1.125
-24.0,-0.5
0.0,0.0
-30.0,-0.625
-144.0,-3.0
-27.0,-0.5625
-24.0,-0.5
-39.0,-0.8125
4081.0,85.02083333333333
-63.0,-1.3125
0.0,0.0
-1.0,-0.020833333333333332
-6.0,-0.125
0.0,0.0
115.0,2.3958333333333335
-24.0,-0.5
-18.0,-0.375
-3.0,-0.0625
-25.0,-0.5208333333333334
-3.0,-0.0625
848.0,17.666666666666668
0.0,0.0
-18.0,-0.375
-21.0,-0.4375
2351.0,48.979166666666664
-24.0,-0.5
369.0,7.6875
-9.0,-0.1875
0.0,0.0
-45.0,-0.9375
0.0,0.0
3879.0,80.8125
405.0,8.4375
0.0,0.0
0.0,0.0
-60.0,-1.25
-6.0,-0.125
7368.0,153.5
-1.0,-0.020833333333333332
224.0,4.666666666666667
-12.0,-0.25
566.0,11.791666666666666
0.0,0.0
-9.0,-0.1875
270.0,5.625
294.0,6.125
-21.0,-0.4375
-24.0,-0.5
126.0,2.625
-21.0,-0.4375
-3.0,-0.0625
-26.0,-0.5416666666666666
0.0,0.0
