sum_GooglePlus_result,avg_GooglePlus_by_hour
-24.0,-0.5
471.0,9.8125
144.0,3.0
341.0,7.104166666666667
794.0,16.541666666666668
-21.0,-0.4375
-21.0,-0.4375
-22.0,-0.4583333333333333
-22.0,-0.4583333333333333
808.0,16.833333333333332
-22.0,-0.4583333333333333
350.0,7.291666666666667
332.0,6.916666666666667
277.0,5.770833333333333
341.0,7.104166666666667
-3.0,-0.0625
-15.0,-0.3125
-63.0,-1.3125
-21.0,-0.4375
-51.0,-1.0625
182.0,3.7916666666666665
358.0,7.458333333333333
578.0,12.041666666666666
96.0,2.0
0.0,0.0
-144.0,-3.0
838.0,17.458333333333332
-24.0,-0.5
20.0,0.4166666666666667
0.0,0.0
0.0,0.0
271.0,5.645833333333333
144.0,3.0
-6.0,-0.125
-35.0,-0.7291666666666666
-21.0,-0.4375
279.0,5.8125
-48.0,-1.0
416.0,8.666666666666666
-21.0,-0.4375
42.0,0.875
0.0,0.0
-21.0,-0.4375
0.0,0.0
52.0,1.0833333333333333
0.0,0.0
195.0,4.0625
0.0,0.0
-21.0,-0.4375
197.0,4.104166666666667
141.0,2.9375
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-21.0,-0.4375
438.0,9.125
144.0,3.0
0.0,0.0
432.0,9.0
288.0,6.0
1176.0,24.5
-23.0,-0.4791666666666667
288.0,6.0
54.0,1.125
144.0,3.0
0.0,0.0
320.0,6.666666666666667
0.0,0.0
-3.0,-0.0625
86.0,1.7916666666666667
0.0,0.0
132.0,2.75
116.0,2.4166666666666665
2306.0,48.041666666666664
93.0,1.9375
0.0,0.0
288.0,6.0
436.0,9.083333333333334
-3.0,-0.0625
288.0,6.0
292.0,6.083333333333333
744.0,15.5
5645.0,117.60416666666667
0.0,0.0
531.0,11.0625
144.0,3.0
869.0,18.104166666666668
860.0,17.916666666666668
295.0,6.145833333333333
3346.0,69.70833333333333
822.0,17.125
203.0,4.229166666666667
-25.0,-0.5208333333333334
-21.0,-0.4375
-21.0,-0.4375
-28.0,-0.5833333333333334
0.0,0.0
-22.0,-0.4583333333333333
-21.0,-0.4375
0.0,0.0
-21.0,-0.4375
142.0,2.9583333333333335
-3.0,-0.0625
87.0,1.8125
0.0,0.0
973.0,20.270833333333332
-21.0,-0.4375
430.0,8.958333333333334
-42.0,-0.875
-27.0,-0.5625
3687.0,76.8125
65.0,1.3541666666666667
0.0,0.0
-12.0,-0.25
698.0,14.541666666666666
270.0,5.625
109.0,2.2708333333333335
-21.0,-0.4375
348.0,7.25
0.0,0.0
0.0,0.0
-33.0,-0.6875
0.0,0.0
100.0,2.0833333333333335
609.0,12.6875
-21.0,-0.4375
0.0,0.0
-6.0,-0.125
-21.0,-0.4375
-144.0,-3.0
843.0,17.5625
0.0,0.0
0.0,0.0
5876.0,122.41666666666667
0.0,0.0
-3.0,-0.0625
144.0,3.0
0.0,0.0
0.0,0.0
-21.0,-0.4375
107.0,2.2291666666666665
0.0,0.0
144.0,3.0
87.0,1.8125
-21.0,-0.4375
144.0,3.0
573.0,11.9375
282.0,5.875
76.0,1.5833333333333333
6202.0,129.20833333333334
270.0,5.625
756.0,15.75
0.0,0.0
120.0,2.5
285.0,5.9375
282.0,5.875
593.0,12.354166666666666
144.0,3.0
808.0,16.833333333333332
932.0,19.416666666666668
430.0,8.958333333333334
222.0,4.625
0.0,0.0
-22.0,-0.4583333333333333
0.0,0.0
-21.0,-0.4375
0.0,0.0
380.0,7.916666666666667
285.0,5.9375
-21.0,-0.4375
1977.0,41.1875
95.0,1.9791666666666667
144.0,3.0
0.0,0.0
0.0,0.0
72.0,1.5
111.0,2.3125
1226.0,25.541666666666668
258.0,5.375
71.0,1.4791666666666667
-22.0,-0.4583333333333333
374.0,7.791666666666667
467.0,9.729166666666666
225.0,4.6875
227.0,4.729166666666667
97.0,2.0208333333333335
0.0,0.0
0.0,0.0
73.0,1.5208333333333333
-118.0,-2.4583333333333335
-6.0,-0.125
471.0,9.8125
0.0,0.0
99.0,2.0625
141.0,2.9375
144.0,3.0
-21.0,-0.4375
1446.0,30.125
1215.0,25.3125
0.0,0.0
154.0,3.2083333333333335
-13.0,-0.2708333333333333
420.0,8.75
144.0,3.0
-30.0,-0.625
-21.0,-0.4375
0.0,0.0
1305.0,27.1875
-3.0,-0.0625
292.0,6.083333333333333
351.0,7.3125
184.0,3.8333333333333335
207.0,4.3125
638.0,13.291666666666666
962.0,20.041666666666668
138.0,2.875
-144.0,-3.0
546.0,11.375
283.0,5.895833333333333
0.0,0.0
0.0,0.0
57.0,1.1875
77.0,1.6041666666666667
-115.0,-2.3958333333333335
677.0,14.104166666666666
0.0,0.0
134.0,2.7916666666666665
88.0,1.8333333333333333
288.0,6.0
-45.0,-0.9375
-15.0,-0.3125
