date,avg_articles_per_day
"August 18, 2023",4.8320850446967865E-4
"June 28, 2023",0.0019328340178787146
"December 21, 2022",0.0012080212611741967
"November 16, 2022",0.0016912297656438754
"November 2, 2022",0.0012080212611741967
"December 5, 2022",0.0012080212611741967
"September 23, 2021",0.001449625513409036
"October 6, 2020",0.0012080212611741967
"March 23, 2020",0.002174438270113554
"November 11, 2019",7.24812756704518E-4
"June 15, 2019",2.4160425223483932E-4
"March 1, 2018",0.001449625513409036
"September 4, 2017",2.4160425223483932E-4
"June 5, 2017",0.002174438270113554
"June 4, 2017",2.4160425223483932E-4
was installed on the station and expanded to its full size in late May. In the same tweet,2.4160425223483932E-4
"October 28, 2016",9.664170089393573E-4
"October 5, 2016",7.24812756704518E-4
"April 22, 2016",7.24812756704518E-4
"November 26, 2015",7.24812756704518E-4
"August 31, 2015",7.24812756704518E-4
"January 31, 2015",4.8320850446967865E-4
"November 7, 2014",0.0019328340178787146
"February 28, 2013",0.0012080212611741967
"February 18, 2013",0.002174438270113554
"December 13, 2012",7.24812756704518E-4
"August 9, 2012",4.8320850446967865E-4
"September 9, 2010",2.4160425223483932E-4
"April 20, 2010",2.4160425223483932E-4
"October 23, 2009",7.24812756704518E-4
"February 24, 2009",2.4160425223483932E-4
