date,avg_articles_per_day
"January 6, 2023",2.4160425223483932E-4
"June 24, 2021",0.0016912297656438754
"June 15, 2021",0.001449625513409036
"April 30, 2021",0.0019328340178787146
"April 22, 2021",0.002899251026818072
"February 28, 2020",0.001449625513409036
"November 8, 2019",9.664170089393573E-4
"June 7, 2019",7.24812756704518E-4
"May 10, 2019",0.001449625513409036
"August 14, 2018",9.664170089393573E-4
"July 19, 2018",9.664170089393573E-4
"June 22, 2018",2.4160425223483932E-4
"May 20, 2018",4.8320850446967865E-4
"March 31, 2018",7.24812756704518E-4
"February 18, 2015",0.001449625513409036
"December 3, 2014",0.0012080212611741967
"April 24, 2014",9.664170089393573E-4
"October 11, 2013",4.8320850446967865E-4
