date,avg_articles_per_day
"March 25, 2022",9.664170089393573E-4
"January 18, 2022",0.0026576467745832327
"March 14, 2021",2.4160425223483932E-4
"July 16, 2020",0.002174438270113554
"December 25, 2019",2.4160425223483932E-4
"June 20, 2019",0.001449625513409036
"December 14, 2018",7.24812756704518E-4
"November 25, 2018",4.8320850446967865E-4
"July 20, 2018",7.24812756704518E-4
"December 5, 2017",0.0024160425223483935
"October 3, 2016",2.4160425223483932E-4
"May 25, 2016",0.0016912297656438754
"January 6, 2016",7.24812756704518E-4
"October 6, 2015",4.8320850446967865E-4
"March 10, 2015",0.002174438270113554
"July 29, 2014",0.001449625513409036
"January 4, 2013",0.001449625513409036
"June 26, 2012",4.8320850446967865E-4
"October 4, 2011",7.24812756704518E-4
