date,avg_articles_per_day
"July 18, 2023",7.24812756704518E-4
"January 3, 2023",7.24812756704518E-4
"February 11, 2022",7.24812756704518E-4
"July 1, 2021",0.0016912297656438754
"April 10, 2021",4.8320850446967865E-4
"January 9, 2021",4.8320850446967865E-4
"November 17, 2020",0.0024160425223483935
"October 25, 2020",2.4160425223483932E-4
"September 7, 2020",2.4160425223483932E-4
"August 19, 2020",0.0024160425223483935
"January 22, 2020",0.0019328340178787146
"August 23, 2019",9.664170089393573E-4
"February 13, 2019",0.0012080212611741967
"December 6, 2018",0.001449625513409036
"August 31, 2018",0.0012080212611741967
"July 10, 2013",7.24812756704518E-4
"June 29, 2011",2.4160425223483932E-4
"April 21, 2010",2.4160425223483932E-4
"April 5, 2010",0.0026576467745832327
