date,avg_articles_per_day
"February 15, 2023",0.0012080212611741967
"September 30, 2022",0.0016912297656438754
"March 26, 2022",7.24812756704518E-4
"February 7, 2022",0.001449625513409036
"December 10, 2021",9.664170089393573E-4
” Norquist said in the memo.   A permanent assistant secretary will be nominated by the president and confirmed by the Senate. Gregory Pejic,2.4160425223483932E-4
"July 9, 2020",9.664170089393573E-4
"July 4, 2020",0.0012080212611741967
"December 3, 2019",0.0016912297656438754
"September 8, 2019",9.664170089393573E-4
"January 21, 2019",2.4160425223483932E-4
"October 30, 2018",9.664170089393573E-4
"April 11, 2017",9.664170089393573E-4
"August 12, 2016",2.4160425223483932E-4
"April 7, 2016",4.8320850446967865E-4
"August 12, 2015",0.001449625513409036
"July 14, 2015",9.664170089393573E-4
"June 29, 2015",0.001449625513409036
"June 25, 2014",0.001449625513409036
"December 31, 2010",4.8320850446967865E-4
"September 13, 2010",0.0016912297656438754
"September 2, 2010",4.8320850446967865E-4
"November 12, 2009",4.8320850446967865E-4
