date,avg_articles_per_day
"June 18, 2023",2.4160425223483932E-4
"February 27, 2022",4.8320850446967865E-4
"February 23, 2022",0.002174438270113554
"December 1, 2021",0.001449625513409036
"May 29, 2021",4.8320850446967865E-4
"November 26, 2017",4.8320850446967865E-4
"May 9, 2016",9.664170089393573E-4
"September 29, 2015",0.0024160425223483935
"January 20, 2015",0.0031408552790529115
"May 17, 2014",2.4160425223483932E-4
"November 7, 2013",4.8320850446967865E-4
"March 26, 2013",4.8320850446967865E-4
"December 18, 2012",2.4160425223483932E-4
"November 1, 2011",7.24812756704518E-4
"March 19, 2010",0.001449625513409036
