date,avg_articles_per_day
"July 31, 2023",9.664170089393573E-4
"February 13, 2023",0.0012080212611741967
"September 6, 2022",0.001449625513409036
"September 22, 2021",0.0019328340178787146
"January 30, 2021",2.4160425223483932E-4
"March 1, 2020",9.664170089393573E-4
"February 7, 2020",0.0012080212611741967
"July 16, 2018",0.001449625513409036
"January 13, 2017",0.0012080212611741967
"October 20, 2016",4.8320850446967865E-4
"June 10, 2016",9.664170089393573E-4
"May 4, 2016",4.8320850446967865E-4
"February 15, 2016",7.24812756704518E-4
"January 26, 2016",7.24812756704518E-4
"December 7, 2015",0.0012080212611741967
"October 5, 2015",0.0019328340178787146
"April 3, 2015",0.001449625513409036
"February 17, 2015",0.0012080212611741967
"January 30, 2012",0.0026576467745832327
"December 12, 2011",0.0016912297656438754
"November 2, 2011",0.0026576467745832327
"August 30, 2011",2.4160425223483932E-4
"April 5, 2011",7.24812756704518E-4
"September 23, 2010",2.4160425223483932E-4
"July 21, 2010",9.664170089393573E-4
"June 17, 2010",4.8320850446967865E-4
"October 1, 2009",4.8320850446967865E-4
